Latitude,Longitude,Elevation
51.18413000,-115.582610,1388.0
51.18415000,-115.582640,1388.0
51.18418000,-115.582650,1389.0
51.18419000,-115.582610,1388.0
51.18415000,-115.582630,1388.0
51.18413000,-115.582660,1389.0
51.18411000,-115.582710,1389.0
51.18409000,-115.582780,1389.0
51.18408000,-115.582820,1389.0
51.18407000,-115.582860,1389.0
51.18405000,-115.582910,1390.0
51.18404000,-115.582970,1390.0
51.18405000,-115.583030,1390.0
51.18404000,-115.583070,1390.0
51.18405000,-115.583120,1390.0
51.18404000,-115.583170,1390.0
51.18402000,-115.583200,1390.0
51.18403000,-115.583250,1390.0
51.18406000,-115.583260,1390.0
51.18408000,-115.583270,1390.0
51.18409000,-115.583330,1390.0
51.18406000,-115.583320,1390.0
51.18403000,-115.583310,1390.0
51.18403000,-115.583360,1390.0
51.18403000,-115.583420,1390.0
51.18401000,-115.583470,1390.0
51.18398000,-115.583500,1390.0
51.18395000,-115.583530,1390.0
51.18392000,-115.583540,1390.0
51.18389000,-115.583560,1390.0
51.18387000,-115.583580,1391.0
51.18385000,-115.583620,1391.0
51.18382000,-115.583630,1391.0
51.18379000,-115.583630,1391.0
51.18376000,-115.583630,1391.0
51.18373000,-115.583620,1392.0
51.18370000,-115.583610,1392.0
51.18367000,-115.583610,1392.0
51.18363000,-115.583600,1392.0
51.18359000,-115.583600,1393.0
51.18355000,-115.583610,1393.0
51.18352000,-115.583620,1393.0
51.18349000,-115.583620,1393.0
51.18345000,-115.583620,1393.0
51.18342000,-115.583620,1393.0
51.18339000,-115.583650,1393.0
51.18335000,-115.583650,1394.0
51.18332000,-115.583640,1394.0
51.18329000,-115.583640,1394.0
51.18326000,-115.583640,1394.0
51.18322000,-115.583640,1394.0
51.18318000,-115.583650,1394.0
51.18315000,-115.583640,1394.0
51.18312000,-115.583640,1394.0
51.18309000,-115.583620,1394.0
51.18307000,-115.583590,1394.0
51.18304000,-115.583560,1394.0
51.18301000,-115.583550,1394.0
51.18298000,-115.583540,1394.0
51.18295000,-115.583530,1394.0
51.18292000,-115.583510,1394.0
51.18289000,-115.583480,1393.0
51.18286000,-115.583470,1393.0
51.18282000,-115.583470,1393.0
51.18279000,-115.583470,1393.0
51.18275000,-115.583460,1393.0
51.18272000,-115.583440,1393.0
51.18268000,-115.583420,1393.0
51.18265000,-115.583400,1393.0
51.18263000,-115.583380,1393.0
51.18259000,-115.583340,1393.0
51.18257000,-115.583320,1393.0
51.18253000,-115.583310,1393.0
51.18250000,-115.583290,1394.0
51.18247000,-115.583250,1394.0
51.18244000,-115.583240,1394.0
51.18241000,-115.583220,1394.0
51.18238000,-115.583210,1394.0
51.18235000,-115.583190,1394.0
51.18231000,-115.583180,1394.0
51.18227000,-115.583160,1394.0
51.18223000,-115.583140,1394.0
51.18220000,-115.583100,1393.0
51.18216000,-115.583090,1393.0
51.18214000,-115.583070,1393.0
51.18210000,-115.583050,1393.0
51.18208000,-115.583020,1393.0
51.18205000,-115.582990,1393.0
51.18202000,-115.582950,1393.0
51.18200000,-115.582900,1393.0
51.18196000,-115.582870,1393.0
51.18192000,-115.582850,1393.0
51.18190000,-115.582830,1393.0
51.18187000,-115.582780,1393.0
51.18186000,-115.582720,1393.0
51.18183000,-115.582680,1393.0
51.18182000,-115.582650,1393.0
51.18180000,-115.582600,1392.0
51.18178000,-115.582560,1392.0
51.18176000,-115.582530,1392.0
51.18173000,-115.582490,1392.0
51.18170000,-115.582460,1392.0
51.18169000,-115.582420,1392.0
51.18167000,-115.582380,1392.0
51.18165000,-115.582330,1391.0
51.18163000,-115.582290,1391.0
51.18159000,-115.582260,1391.0
51.18156000,-115.582230,1391.0
51.18153000,-115.582190,1391.0
51.18150000,-115.582150,1390.0
51.18148000,-115.582120,1390.0
51.18145000,-115.582090,1390.0
51.18145000,-115.582050,1390.0
51.18143000,-115.582000,1390.0
51.18141000,-115.581970,1390.0
51.18139000,-115.581940,1390.0
51.18137000,-115.581900,1390.0
51.18136000,-115.581860,1390.0
51.18137000,-115.581800,1390.0
51.18138000,-115.581750,1390.0
51.18139000,-115.581700,1390.0
51.18141000,-115.581640,1391.0
51.18143000,-115.581610,1391.0
51.18144000,-115.581550,1391.0
51.18146000,-115.581500,1391.0
51.18148000,-115.581450,1391.0
51.18151000,-115.581400,1391.0
51.18153000,-115.581360,1392.0
51.18155000,-115.581300,1392.0
51.18156000,-115.581260,1392.0
51.18157000,-115.581220,1392.0
51.18158000,-115.581180,1392.0
51.18160000,-115.581140,1392.0
51.18162000,-115.581100,1392.0
51.18161000,-115.581040,1392.0
51.18164000,-115.581020,1392.0
51.18165000,-115.580970,1392.0
51.18165000,-115.580930,1392.0
51.18165000,-115.580880,1392.0
51.18166000,-115.580820,1392.0
51.18166000,-115.580770,1392.0
51.18165000,-115.580720,1392.0
51.18164000,-115.580680,1392.0
51.18163000,-115.580630,1392.0
51.18163000,-115.580590,1392.0
51.18161000,-115.580550,1391.0
51.18158000,-115.580500,1391.0
51.18156000,-115.580450,1391.0
51.18153000,-115.580400,1391.0
51.18151000,-115.580370,1391.0
51.18148000,-115.580350,1391.0
51.18145000,-115.580320,1391.0
51.18142000,-115.580300,1391.0
51.18139000,-115.580260,1390.0
51.18137000,-115.580230,1390.0
51.18135000,-115.580190,1390.0
51.18132000,-115.580170,1390.0
51.18129000,-115.580140,1389.0
51.18127000,-115.580120,1389.0
51.18124000,-115.580100,1389.0
51.18122000,-115.580060,1389.0
51.18120000,-115.580030,1388.0
51.18117000,-115.579990,1388.0
51.18116000,-115.579940,1388.0
51.18116000,-115.579890,1388.0
51.18116000,-115.579840,1388.0
51.18116000,-115.579790,1388.0
51.18116000,-115.579740,1388.0
51.18117000,-115.579690,1388.0
51.18118000,-115.579650,1387.0
51.18119000,-115.579600,1387.0
51.18120000,-115.579540,1387.0
51.18121000,-115.579490,1387.0
51.18123000,-115.579460,1387.0
51.18125000,-115.579420,1387.0
51.18127000,-115.579370,1387.0
51.18127000,-115.579310,1387.0
51.18124000,-115.579270,1387.0
51.18122000,-115.579240,1387.0
51.18119000,-115.579220,1387.0
51.18116000,-115.579200,1387.0
51.18114000,-115.579170,1387.0
51.18112000,-115.579140,1386.0
51.18109000,-115.579120,1386.0
51.18106000,-115.579110,1386.0
51.18103000,-115.579090,1386.0
51.18099000,-115.579060,1386.0
51.18097000,-115.579040,1386.0
51.18093000,-115.579010,1385.0
51.18091000,-115.578990,1385.0
51.18087000,-115.578960,1385.0
51.18084000,-115.578930,1385.0
51.18081000,-115.578920,1385.0
51.18077000,-115.578900,1384.0
51.18075000,-115.578880,1384.0
51.18072000,-115.578860,1384.0
51.18069000,-115.578830,1384.0
51.18066000,-115.578810,1384.0
51.18063000,-115.578780,1384.0
51.18059000,-115.578750,1384.0
51.18056000,-115.578730,1384.0
51.18053000,-115.578710,1384.0
51.18050000,-115.578680,1384.0
51.18047000,-115.578660,1384.0
51.18044000,-115.578630,1384.0
51.18040000,-115.578610,1384.0
51.18036000,-115.578580,1383.0
51.18033000,-115.578560,1383.0
51.18031000,-115.578540,1383.0
51.18028000,-115.578520,1383.0
51.18025000,-115.578500,1383.0
51.18022000,-115.578480,1383.0
51.18019000,-115.578470,1383.0
51.18015000,-115.578450,1382.0
51.18011000,-115.578430,1382.0
51.18008000,-115.578410,1382.0
51.18004000,-115.578380,1382.0
51.18001000,-115.578360,1382.0
51.17998000,-115.578340,1382.0
51.17995000,-115.578330,1382.0
51.17992000,-115.578290,1382.0
51.17989000,-115.578270,1382.0
51.17986000,-115.578260,1382.0
51.17983000,-115.578250,1382.0
51.17980000,-115.578270,1382.0
51.17977000,-115.578290,1382.0
51.17975000,-115.578300,1382.0
51.17972000,-115.578300,1383.0
51.17969000,-115.578300,1383.0
51.17966000,-115.578290,1383.0
51.17963000,-115.578270,1383.0
51.17960000,-115.578250,1383.0
51.17957000,-115.578240,1384.0
51.17955000,-115.578270,1384.0
51.17953000,-115.578240,1384.0
51.17949000,-115.578240,1384.0
51.17946000,-115.578220,1384.0
51.17944000,-115.578190,1385.0
51.17943000,-115.578130,1385.0
51.17942000,-115.578080,1385.0
51.17941000,-115.578030,1385.0
51.17939000,-115.577980,1385.0
51.17937000,-115.577950,1385.0
51.17934000,-115.577910,1385.0
51.17931000,-115.577890,1386.0
51.17928000,-115.577850,1386.0
51.17925000,-115.577820,1386.0
51.17922000,-115.577800,1386.0
51.17920000,-115.577770,1386.0
51.17917000,-115.577740,1386.0
51.17915000,-115.577710,1386.0
51.17911000,-115.577680,1386.0
51.17908000,-115.577660,1386.0
51.17905000,-115.577630,1386.0
51.17902000,-115.577600,1385.0
51.17900000,-115.577560,1385.0
51.17896000,-115.577530,1385.0
51.17893000,-115.577520,1385.0
51.17890000,-115.577510,1385.0
51.17887000,-115.577480,1385.0
51.17884000,-115.577440,1385.0
51.17881000,-115.577410,1385.0
51.17878000,-115.577390,1384.0
51.17875000,-115.577370,1384.0
51.17873000,-115.577350,1384.0
51.17871000,-115.577320,1385.0
51.17868000,-115.577300,1384.0
51.17864000,-115.577270,1384.0
51.17862000,-115.577250,1384.0
51.17859000,-115.577230,1384.0
51.17856000,-115.577210,1384.0
51.17854000,-115.577180,1384.0
51.17851000,-115.577170,1384.0
51.17849000,-115.577140,1384.0
51.17846000,-115.577100,1384.0
51.17842000,-115.577060,1384.0
51.17840000,-115.577040,1384.0
51.17837000,-115.577000,1384.0
51.17835000,-115.576970,1384.0
51.17832000,-115.576950,1383.0
51.17829000,-115.576930,1383.0
51.17826000,-115.576910,1383.0
51.17823000,-115.576890,1383.0
51.17820000,-115.576880,1383.0
51.17817000,-115.576870,1383.0
51.17814000,-115.576870,1382.0
51.17811000,-115.576870,1382.0
51.17807000,-115.576850,1382.0
51.17805000,-115.576830,1382.0
51.17802000,-115.576800,1382.0
51.17799000,-115.576760,1382.0
51.17797000,-115.576730,1382.0
51.17794000,-115.576710,1382.0
51.17791000,-115.576670,1382.0
51.17789000,-115.576630,1382.0
51.17787000,-115.576590,1382.0
51.17786000,-115.576550,1383.0
51.17783000,-115.576510,1383.0
51.17781000,-115.576480,1383.0
51.17778000,-115.576440,1383.0
51.17775000,-115.576410,1383.0
51.17772000,-115.576370,1383.0
51.17770000,-115.576340,1384.0
51.17768000,-115.576300,1384.0
51.17766000,-115.576260,1384.0
51.17763000,-115.576250,1384.0
51.17760000,-115.576220,1384.0
51.17757000,-115.576170,1384.0
51.17755000,-115.576140,1384.0
51.17753000,-115.576110,1385.0
51.17751000,-115.576050,1385.0
51.17748000,-115.576020,1384.0
51.17745000,-115.575980,1384.0
51.17742000,-115.575950,1384.0
51.17740000,-115.575920,1384.0
51.17737000,-115.575870,1384.0
51.17734000,-115.575850,1384.0
51.17731000,-115.575820,1384.0
51.17728000,-115.575800,1384.0
51.17725000,-115.575790,1384.0
51.17722000,-115.575780,1384.0
51.17719000,-115.575770,1384.0
51.17716000,-115.575740,1383.0
51.17714000,-115.575720,1383.0
51.17711000,-115.575700,1383.0
51.17708000,-115.575680,1383.0
51.17706000,-115.575660,1383.0
51.17703000,-115.575630,1383.0
51.17701000,-115.575600,1383.0
51.17699000,-115.575560,1384.0
51.17696000,-115.575530,1384.0
51.17693000,-115.575510,1383.0
51.17690000,-115.575490,1383.0
51.17688000,-115.575480,1383.0
51.17684000,-115.575460,1383.0
51.17681000,-115.575450,1383.0
51.17679000,-115.575430,1383.0
51.17675000,-115.575410,1383.0
51.17672000,-115.575380,1383.0
51.17669000,-115.575370,1383.0
51.17665000,-115.575360,1383.0
51.17662000,-115.575350,1383.0
51.17658000,-115.575340,1383.0
51.17654000,-115.575320,1383.0
51.17651000,-115.575310,1383.0
51.17647000,-115.575300,1383.0
51.17644000,-115.575290,1383.0
51.17641000,-115.575280,1383.0
51.17638000,-115.575270,1383.0
51.17635000,-115.575260,1383.0
51.17631000,-115.575250,1383.0
51.17628000,-115.575240,1383.0
51.17624000,-115.575230,1383.0
51.17620000,-115.575230,1383.0
51.17618000,-115.575230,1383.0
51.17615000,-115.575230,1383.0
51.17611000,-115.575220,1383.0
51.17608000,-115.575210,1383.0
51.17605000,-115.575210,1383.0
51.17602000,-115.575200,1383.0
51.17599000,-115.575200,1382.0
51.17595000,-115.575190,1382.0
51.17593000,-115.575170,1382.0
51.17590000,-115.575160,1383.0
51.17587000,-115.575140,1383.0
51.17584000,-115.575120,1383.0
51.17580000,-115.575090,1383.0
51.17577000,-115.575060,1383.0
51.17573000,-115.575040,1384.0
51.17570000,-115.575010,1384.0
51.17568000,-115.574990,1384.0
51.17565000,-115.574970,1384.0
51.17562000,-115.574940,1385.0
51.17559000,-115.574920,1385.0
51.17556000,-115.574890,1385.0
51.17553000,-115.574870,1385.0
51.17550000,-115.574860,1385.0
51.17547000,-115.574860,1385.0
51.17543000,-115.574830,1385.0
51.17540000,-115.574810,1385.0
51.17537000,-115.574790,1385.0
51.17534000,-115.574780,1385.0
51.17531000,-115.574760,1385.0
51.17528000,-115.574750,1385.0
51.17526000,-115.574730,1385.0
51.17523000,-115.574710,1385.0
51.17521000,-115.574690,1385.0
51.17518000,-115.574680,1385.0
51.17514000,-115.574650,1385.0
51.17512000,-115.574620,1385.0
51.17509000,-115.574600,1385.0
51.17507000,-115.574580,1385.0
51.17503000,-115.574560,1385.0
51.17500000,-115.574540,1385.0
51.17497000,-115.574520,1385.0
51.17493000,-115.574500,1385.0
51.17490000,-115.574470,1385.0
51.17487000,-115.574450,1385.0
51.17484000,-115.574440,1384.0
51.17481000,-115.574420,1384.0
51.17478000,-115.574410,1384.0
51.17474000,-115.574390,1384.0
51.17471000,-115.574370,1384.0
51.17468000,-115.574360,1383.0
51.17464000,-115.574330,1383.0
51.17461000,-115.574310,1383.0
51.17458000,-115.574290,1383.0
51.17455000,-115.574270,1383.0
51.17452000,-115.574270,1383.0
51.17449000,-115.574310,1382.0
51.17447000,-115.574330,1382.0
51.17444000,-115.574330,1382.0
51.17441000,-115.574340,1382.0
51.17440000,-115.574280,1382.0
51.17441000,-115.574220,1382.0
51.17438000,-115.574200,1382.0
51.17435000,-115.574210,1382.0
51.17433000,-115.574200,1382.0
51.17432000,-115.574140,1382.0
51.17431000,-115.574090,1382.0
51.17429000,-115.574050,1383.0
51.17428000,-115.574010,1383.0
51.17427000,-115.573950,1383.0
51.17426000,-115.573900,1383.0
51.17425000,-115.573830,1384.0
51.17425000,-115.573770,1384.0
51.17425000,-115.573730,1384.0
51.17425000,-115.573680,1384.0
51.17425000,-115.573630,1384.0
